GeoID,County,Year,Number of establishments,"Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,% Black,% Female,% Hispanic,% Veteran
48001,"Anderson County, Texas",2022.0,885.0,588204.0,140096.0,12913.0,0.0,14.8725212464589,0.0,0.0
48003,"Andrews County, Texas",2022.0,433.0,422961.0,94966.0,5759.0,0.0,12.0111731843575,0.0,3.35195530726257
48005,"Angelina County, Texas",2022.0,1935.0,1230199.0,291226.0,28790.0,0.0,0.0,0.0,0.0
48007,"Aransas County, Texas",2022.0,577.0,174530.0,40612.0,4401.0,,0.0,0.0,0.0
48009,"Archer County, Texas",2022.0,236.0,63218.0,13989.0,1385.0,,0.0,0.0,0.0
48011,"Armstrong County, Texas",2022.0,49.0,9943.0,1953.0,200.0,0.0,0.0,0.0,0.0
48013,"Atascosa County, Texas",2022.0,836.0,769789.0,172518.0,12436.0,,12.4,0.0,3.2
48015,"Austin County, Texas",2022.0,701.0,462181.0,100756.0,8115.0,0.0,0.0,0.0,0.0
48017,"Bailey County, Texas",2022.0,144.0,46017.0,10693.0,1332.0,0.0,0.0,0.0,0.0
48019,"Bandera County, Texas",2022.0,424.0,114205.0,26448.0,2973.0,0.0,0.0,0.0,0.0
48021,"Bastrop County, Texas",2022.0,1693.0,732212.0,166860.0,16939.0,0.407166123778501,0.0,0.0,5.94462540716612
48023,"Baylor County, Texas",2022.0,105.0,29030.0,5668.0,763.0,0.0,0.0,0.0,0.0
48025,"Bee County, Texas",2022.0,445.0,194940.0,45564.0,5307.0,0.0,0.0,0.0,1.03626943005181
48027,"Bell County, Texas",2022.0,5807.0,5131240.0,1226171.0,97993.0,7.69574944071588,20.9395973154362,8.43400447427293,10.0894854586129
48029,"Bexar County, Texas",2022.0,39091.0,44372000.0,11151068.0,798631.0,2.89298515104966,24.7933582034964,25.0786336039792,6.85758174237436
48031,"Blanco County, Texas",2022.0,416.0,156446.0,34944.0,2827.0,,0.0,0.0,0.0
48033,"Borden County, Texas",2022.0,10.0,921.0,222.0,29.0,0.0,0.0,0.0,0.0
48035,"Bosque County, Texas",2022.0,307.0,96114.0,24097.0,2395.0,,0.0,2.46913580246913,0.0
48037,"Bowie County, Texas",2022.0,2247.0,1439682.0,339710.0,32837.0,1.65394402035623,19.5928753180661,2.29007633587786,0.0
48039,"Brazoria County, Texas",2022.0,6479.0,6060813.0,1444355.0,98235.0,4.18060200668896,24.8327759197324,9.57357859531772,0.0
48041,"Brazos County, Texas",2022.0,4836.0,3499878.0,804681.0,76321.0,0.0,18.2287632326362,0.0,0.0
48043,"Brewster County, Texas",2022.0,290.0,79125.0,19349.0,2344.0,,0.0,0.0,0.0
48045,"Briscoe County, Texas",2022.0,34.0,6097.0,1551.0,165.0,0.0,0.0,0.0,0.0
48047,"Brooks County, Texas",2022.0,108.0,38111.0,8605.0,1255.0,,5.95238095238095,0.0,0.0
48049,"Brown County, Texas",2022.0,844.0,530185.0,128207.0,13158.0,0.0,0.0,0.0,0.0
48051,"Burleson County, Texas",2022.0,355.0,180509.0,39017.0,3337.0,0.0,0.0,2.00803212851405,0.0
48053,"Burnet County, Texas",2022.0,1553.0,733434.0,159731.0,14076.0,0.0,0.0,0.0,0.0
48055,"Caldwell County, Texas",2022.0,714.0,289088.0,66179.0,6667.0,0.0,0.0,0.0,1.46103896103896
48057,"Calhoun County, Texas",2022.0,473.0,687494.0,178750.0,9002.0,0.0,0.0,8.04953560371517,0.928792569659442
48059,"Callahan County, Texas",2022.0,254.0,88082.0,18032.0,1831.0,,0.0,0.0,3.64963503649635
48061,"Cameron County, Texas",2022.0,6603.0,3877393.0,887295.0,114735.0,0.0,0.0,49.8749147145781,0.0
48063,"Camp County, Texas",2022.0,233.0,141463.0,31207.0,2898.0,0.0,0.0,0.0,2.09424083769633
48065,"Carson County, Texas",2022.0,129.0,65246.0,12790.0,1070.0,0.0,0.0,0.0,0.0
48067,"Cass County, Texas",2022.0,518.0,235798.0,58317.0,5892.0,0.0,0.0,0.0,3.72093023255813
48069,"Castro County, Texas",2022.0,162.0,63549.0,14031.0,1421.0,,0.0,0.0,
48071,"Chambers County, Texas",2022.0,748.0,974071.0,250363.0,15196.0,0.0,24.2798353909465,0.0,1.85185185185185
48073,"Cherokee County, Texas",2022.0,814.0,452071.0,104527.0,10248.0,0.0,11.9883040935672,0.0,0.0
48075,"Childress County, Texas",2022.0,174.0,69880.0,16596.0,1920.0,0.0,0.0,0.0,0.0
48077,"Clay County, Texas",2022.0,162.0,46304.0,10707.0,1125.0,0.0,0.0,0.0,0.0
48079,"Cochran County, Texas",2022.0,41.0,9955.0,2211.0,221.0,,,,
48081,"Coke County, Texas",2022.0,61.0,7837.0,1968.0,236.0,0.0,0.0,,0.0
48083,"Coleman County, Texas",2022.0,201.0,60050.0,12817.0,1625.0,,22.4852071005917,0.0,0.0
48085,"Collin County, Texas",2022.0,29742.0,39005815.0,10142375.0,505787.0,4.23779193205944,24.5902335456475,5.49893842887473,4.35668789808917
48087,"Collingsworth County, Texas",2022.0,68.0,18920.0,4399.0,479.0,,0.0,0.0,
48089,"Colorado County, Texas",2022.0,557.0,309241.0,69856.0,6105.0,0.0,0.0,0.0,3.2258064516129
48091,"Comal County, Texas",2022.0,4756.0,2907542.0,676190.0,60916.0,0.0,0.0,7.79644021057909,7.8465780897468
48093,"Comanche County, Texas",2022.0,287.0,110053.0,24965.0,2631.0,0.0,7.26744186046511,0.0,0.0
48095,"Concho County, Texas",2022.0,42.0,22025.0,5228.0,521.0,,0.0,,0.0
48097,"Cooke County, Texas",2022.0,993.0,673125.0,151911.0,14275.0,0.0,10.8843537414965,0.0,3.12925170068027
48099,"Coryell County, Texas",2022.0,789.0,340870.0,82882.0,9590.0,0.0,21.6260162601626,0.0,0.0
48101,"Cottle County, Texas",2022.0,30.0,1849.0,412.0,77.0,,0.0,,
48103,"Crane County, Texas",2022.0,88.0,94962.0,24058.0,1099.0,,0.0,0.0,
48105,"Crockett County, Texas",2022.0,119.0,29486.0,7033.0,767.0,,0.0,0.0,0.0
48107,"Crosby County, Texas",2022.0,85.0,24614.0,5633.0,601.0,,,,0.0
48109,"Culberson County, Texas",2022.0,58.0,84558.0,15849.0,1077.0,,0.0,0.0,
48111,"Dallam County, Texas",2022.0,204.0,112585.0,21881.0,2012.0,,0.0,0.0,0.0
48113,"Dallas County, Texas",2022.0,70472.0,119814402.0,30946926.0,1587323.0,5.64721891478142,21.5097049762809,10.1982574511916,4.22974428757725
48115,"Dawson County, Texas",2022.0,273.0,135001.0,32633.0,2481.0,,0.0,0.0,2.52100840336134
